frame,experiment,iou,lethal_iou,detection_rate,false_positive_rate,clearance_pred_m,clearance_gt_m,occupied_cells_pred,occupied_cells_gt,inflation_radius_m,timing_ms
00000,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,481,481,0.0900,15.17
00000,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,481,481,0.1781,51.90
00000,A2,0.438469,0.342373,1.000000,0.044256,0.150000,0.250000,1097,481,0.0900,80.27
00000,A3,0.438469,0.342373,1.000000,0.044256,0.150000,0.250000,1097,481,0.1781,115.08
00000,A4,0.261623,0.240678,0.702970,0.044256,0.150000,0.250000,903,481,0.1446,112.19
00000,A5,0.438469,0.342373,1.000000,0.044256,0.150000,0.250000,1097,481,0.1841,177.83
00000,A6,0.261623,0.240678,0.702970,0.044256,0.150000,0.250000,903,481,0.1913,162.78
00005,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,488,488,0.0900,16.20
00005,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,488,488,0.1783,67.94
00005,A2,0.441230,0.343820,1.000000,0.044422,0.150000,0.250000,1106,488,0.0900,109.27
00005,A3,0.441230,0.343820,1.000000,0.044422,0.150000,0.250000,1106,488,0.1783,160.08
00005,A4,0.256781,0.237079,0.689542,0.044422,0.150000,0.250000,902,488,0.1449,162.47
00005,A5,0.441230,0.343820,1.000000,0.044422,0.150000,0.250000,1106,488,0.1842,228.96
00005,A6,0.256781,0.237079,0.689542,0.044422,0.150000,0.250000,902,488,0.1918,213.13
00010,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,484,484,0.0900,16.90
00010,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,484,484,0.1789,52.49
00010,A2,0.442009,0.346893,1.000000,0.043906,0.150000,0.250000,1095,484,0.0900,78.25
00010,A3,0.442009,0.346893,1.000000,0.043906,0.150000,0.250000,1095,484,0.1789,114.62
00010,A4,0.263014,0.241808,0.697068,0.043906,0.150000,0.250000,899,484,0.1449,110.35
00010,A5,0.442009,0.346893,1.000000,0.043906,0.150000,0.250000,1095,484,0.1847,175.17
00010,A6,0.263014,0.241808,0.697068,0.043906,0.150000,0.250000,899,484,0.1923,158.30
00015,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,500,500,0.0900,13.57
00015,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,500,500,0.1781,72.98
00015,A2,0.443262,0.344371,1.000000,0.045180,0.150000,0.250000,1128,500,0.0900,96.07
00015,A3,0.443262,0.344371,1.000000,0.045180,0.150000,0.250000,1128,500,0.1781,169.42
00015,A4,0.257979,0.237307,0.689103,0.045180,0.150000,0.250000,919,500,0.1447,161.57
00015,A5,0.443262,0.344371,1.000000,0.045180,0.150000,0.250000,1128,500,0.1836,245.64
00015,A6,0.257979,0.237307,0.689103,0.045180,0.150000,0.250000,919,500,0.1912,232.90
00020,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,514,514,0.0900,14.05
00020,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,514,514,0.1785,71.19
00020,A2,0.460573,0.355705,1.000000,0.043353,0.150000,0.250000,1116,514,0.0900,85.67
00020,A3,0.460573,0.355705,1.000000,0.043353,0.150000,0.250000,1116,514,0.1785,139.02
00020,A4,0.267921,0.243848,0.685535,0.043353,0.150000,0.250000,901,514,0.1456,152.55
00020,A5,0.460573,0.355705,1.000000,0.043353,0.150000,0.250000,1116,514,0.1836,211.04
00020,A6,0.267921,0.243848,0.685535,0.043353,0.150000,0.250000,901,514,0.1916,197.29
00025,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,504,504,0.0900,20.79
00025,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,504,504,0.1784,71.49
00025,A2,0.458182,0.350797,1.000000,0.042890,0.150000,0.250000,1100,504,0.0900,107.76
00025,A3,0.458182,0.350797,1.000000,0.042890,0.150000,0.250000,1100,504,0.1784,154.61
00025,A4,0.267273,0.241458,0.688312,0.042890,0.150000,0.250000,890,504,0.1452,154.39
00025,A5,0.458182,0.350797,1.000000,0.042890,0.150000,0.250000,1100,504,0.1838,242.82
00025,A6,0.267273,0.241458,0.688312,0.042890,0.150000,0.250000,890,504,0.1916,222.13
00030,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,475,475,0.0900,13.93
00030,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,475,475,0.1783,62.34
00030,A2,0.442272,0.344111,1.000000,0.043016,0.150000,0.250000,1074,475,0.0900,77.42
00030,A3,0.442272,0.344111,1.000000,0.043016,0.150000,0.250000,1074,475,0.1783,127.13
