frame,experiment,iou,lethal_iou,detection_rate,false_positive_rate,clearance_pred_m,clearance_gt_m,occupied_cells_pred,occupied_cells_gt,inflation_radius_m,timing_ms
00000,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,481,481,0.0900,28.61
00000,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,481,481,0.1781,94.61
00000,A2,0.438469,0.342373,1.000000,0.044256,0.150000,0.250000,1097,481,0.0900,183.65
00000,A3,0.438469,0.342373,1.000000,0.044256,0.150000,0.250000,1097,481,0.1781,221.66
00000,A4,0.261623,0.240678,0.702970,0.044256,0.150000,0.250000,903,481,0.1446,200.60
00005,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,488,488,0.0900,14.71
00005,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,488,488,0.1783,49.00
00005,A2,0.441230,0.343820,1.000000,0.044422,0.150000,0.250000,1106,488,0.0900,92.54
00005,A3,0.441230,0.343820,1.000000,0.044422,0.150000,0.250000,1106,488,0.1783,124.78
00005,A4,0.256781,0.237079,0.689542,0.044422,0.150000,0.250000,902,488,0.1449,131.54
00010,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,484,484,0.0900,17.37
00010,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,484,484,0.1789,63.59
00010,A2,0.442009,0.346893,1.000000,0.043906,0.150000,0.250000,1095,484,0.0900,114.38
00010,A3,0.442009,0.346893,1.000000,0.043906,0.150000,0.250000,1095,484,0.1789,158.72
00010,A4,0.263014,0.241808,0.697068,0.043906,0.150000,0.250000,899,484,0.1449,151.77
00015,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,500,500,0.0900,14.20
00015,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,500,500,0.1781,176.12
00015,A2,0.443262,0.344371,1.000000,0.045180,0.150000,0.250000,1128,500,0.0900,87.83
00015,A3,0.443262,0.344371,1.000000,0.045180,0.150000,0.250000,1128,500,0.1781,283.86
00015,A4,0.257979,0.237307,0.689103,0.045180,0.150000,0.250000,919,500,0.1447,454.17
00020,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,514,514,0.0900,56.74
00020,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,514,514,0.1785,251.20
00020,A2,0.460573,0.355705,1.000000,0.043353,0.150000,0.250000,1116,514,0.0900,347.37
00020,A3,0.460573,0.355705,1.000000,0.043353,0.150000,0.250000,1116,514,0.1785,546.29
00020,A4,0.267921,0.243848,0.685535,0.043353,0.150000,0.250000,901,514,0.1456,522.04
00025,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,504,504,0.0900,14.73
00025,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,504,504,0.1784,47.24
00025,A2,0.458182,0.350797,1.000000,0.042890,0.150000,0.250000,1100,504,0.0900,81.95
00025,A3,0.458182,0.350797,1.000000,0.042890,0.150000,0.250000,1100,504,0.1784,115.94
00025,A4,0.267273,0.241458,0.688312,0.042890,0.150000,0.250000,890,504,0.1452,114.07
00030,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,475,475,0.0900,16.25
00030,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,475,475,0.1783,58.52
00030,A2,0.442272,0.344111,1.000000,0.043016,0.150000,0.250000,1074,475,0.0900,91.47
00030,A3,0.442272,0.344111,1.000000,0.043016,0.150000,0.250000,1074,475,0.1783,134.00
