frame,experiment,iou,lethal_iou,detection_rate,false_positive_rate,clearance_pred_m,clearance_gt_m,occupied_cells_pred,occupied_cells_gt,inflation_radius_m,timing_ms
000000,Baseline,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1581,1581,0.0900,18.28
000000,A1,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1581,1581,0.0989,46.38
000000,A2,0.846360,0.799201,1.000000,0.022389,0.900000,1.000000,1868,1581,0.0900,37.32
000000,A3,0.846360,0.799201,1.000000,0.022389,0.900000,1.000000,1868,1581,0.0989,64.93
000000,A4,0.845824,0.796349,0.996431,0.022389,0.900000,1.000000,1867,1581,0.1001,47.22
000001,Baseline,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1603,1603,0.0900,18.19
000001,A1,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1603,1603,0.0991,47.65
000001,A2,0.880769,0.843402,1.000000,0.016957,0.894427,1.000000,1820,1603,0.0900,40.43
000001,A3,0.880769,0.843402,1.000000,0.016957,0.894427,1.000000,1820,1603,0.0991,69.54
000001,A4,0.874725,0.835777,0.990960,0.016957,0.894427,1.000000,1809,1603,0.1164,52.12
000002,Baseline,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1628,1628,0.0900,18.69
000002,A1,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1628,1628,0.1029,48.57
000002,A2,0.869658,0.838655,1.000000,0.019104,0.626498,1.000000,1872,1628,0.0900,39.46
000002,A3,0.869658,0.838655,1.000000,0.019104,0.626498,1.000000,1872,1628,0.1029,70.44
000002,A4,0.861645,0.828392,0.987763,0.019104,0.626498,1.000000,1857,1628,0.1261,53.54
000003,Baseline,1.000000,1.000000,1.000000,0.000000,0.982344,0.982344,1664,1664,0.0900,17.64
000003,A1,1.000000,1.000000,1.000000,0.000000,0.982344,0.982344,1664,1664,0.1042,46.94
000003,A2,0.883696,0.850028,1.000000,0.017195,0.559017,0.982344,1883,1664,0.0900,37.89
000003,A3,0.883696,0.850028,1.000000,0.017195,0.559017,0.982344,1883,1664,0.1042,67.90
000003,A4,0.869357,0.834182,0.981358,0.017195,0.559017,0.982344,1856,1664,0.1225,50.03
000004,Baseline,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1759,1759,0.0900,17.78
000004,A1,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1759,1759,0.0954,45.11
000004,A2,0.918538,0.897677,1.000000,0.012341,0.824621,1.000000,1915,1759,0.0900,37.55
000004,A3,0.918538,0.897677,1.000000,0.012341,0.824621,1.000000,1915,1759,0.0954,64.21
000004,A4,0.909661,0.888274,0.989526,0.012341,0.824621,1.000000,1898,1759,0.1005,48.45
000005,Baseline,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1759,1759,0.0900,19.22
000005,A1,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1759,1759,0.0500,47.96
000005,A2,0.926765,0.891741,1.000000,0.010996,0.838153,1.000000,1898,1759,0.0900,38.51
000005,A3,0.926765,0.891741,1.000000,0.010996,0.838153,1.000000,1898,1759,0.0500,64.87
000005,A4,0.925711,0.887277,0.994994,0.010996,0.838153,1.000000,1896,1759,0.0500,45.08
000006,Baseline,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1520,1520,0.0900,15.12
000006,A1,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1520,1520,0.0737,37.12
000006,A2,0.873563,0.854489,1.000000,0.017081,0.715891,1.000000,1740,1520,0.0900,31.97
000006,A3,0.873563,0.854489,1.000000,0.017081,0.715891,1.000000,1740,1520,0.0737,53.99
000006,A4,0.851149,0.819195,0.958696,0.017081,0.715891,1.000000,1701,1520,0.0833,40.82
000007,Baseline,1.000000,1.000000,1.000000,0.000000,0.919239,0.919239,1411,1411,0.0900,20.07
000007,A1,1.000000,1.000000,1.000000,0.000000,0.919239,0.919239,1411,1411,0.0600,53.26
000007,A2,0.914452,0.886713,1.000000,0.010162,0.715891,0.919239,1543,1411,0.0900,43.31
000007,A3,0.914452,0.886713,1.000000,0.010162,0.715891,0.919239,1543,1411,0.0600,73.92
000007,A4,0.901491,0.872727,0.984227,0.010162,0.715891,0.919239,1523,1411,0.0693,54.63
000008,Baseline,1.000000,1.000000,1.000000,0.000000,0.970824,0.970824,1267,1267,0.0900,16.25
000008,A1,1.000000,1.000000,1.000000,0.000000,0.970824,0.970824,1267,1267,0.1648,38.47
000008,A2,0.967176,0.946844,1.000000,0.003274,0.873212,0.970824,1310,1267,0.0900,33.59
000008,A3,0.967176,0.946844,1.000000,0.003274,0.873212,0.970824,1310,1267,0.1648,55.87
000008,A4,0.958779,0.937708,0.990351,0.003274,0.873212,0.970824,1299,1267,0.1665,41.54
