frame_idx,sensor_rmse,sensor_mae,sensor_abs_rel,sensor_delta_125,da3_rmse,da3_mae,da3_abs_rel,da3_delta_125,v9_rmse,v9_mae,v9_abs_rel,v9_delta_125,fused_da3_rmse,fused_da3_mae,fused_da3_abs_rel,fused_da3_delta_125,fused_v9_rmse,fused_v9_mae,fused_v9_abs_rel,fused_v9_delta_125,sensor_valid_pct,dead_pct
0,0.0,0.0,0.0,100.0,0.7276386618614197,0.3765200674533844,0.28691962361335754,39.76781377717231,1.4842854738235474,0.9527568817138672,1.627207636833191,21.086299828229578,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.983072916666664,78.01692708333333
1,0.0,0.0,0.0,100.0,0.735984742641449,0.3796985149383545,0.28435012698173523,40.580309656069026,1.4073448181152344,0.8994501233100891,1.5304924249649048,21.344994681479733,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,22.033854166666668,77.96614583333333
2,0.0,0.0,0.0,100.0,0.7290120720863342,0.37510958313941956,0.283471941947937,40.65055101315322,1.4402108192443848,0.9329364895820618,1.5888751745224,21.548761701623416,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.9765625,78.0234375
3,0.0,0.0,0.0,100.0,0.7348377108573914,0.3779752254486084,0.28707265853881836,39.87409431048818,1.4498902559280396,0.9388568997383118,1.588649034500122,20.198360850457302,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.924479166666664,78.07552083333333
4,0.0,0.0,0.0,100.0,0.7302149534225464,0.3754843473434448,0.28393465280532837,40.6077183802105,1.4880757331848145,0.9592314958572388,1.6150147914886475,19.272165071059046,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.897135416666664,78.10286458333333
5,0.0,0.0,0.0,100.0,0.7367954254150391,0.3788299858570099,0.28361719846725464,41.0131688219243,1.4446426630020142,0.9115021824836731,1.547026515007019,22.8378218056709,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.950520833333336,78.04947916666667
6,0.0,0.0,0.0,100.0,0.7388759851455688,0.3803264796733856,0.28293654322624207,40.93042599964352,1.4216809272766113,0.9061763882637024,1.5092275142669678,21.79311983839344,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.915364583333332,78.08463541666667
7,0.0,0.0,0.0,100.0,0.7368936538696289,0.3816445767879486,0.28492724895477295,40.77733080927592,1.1234065294265747,0.7162268757820129,1.2106577157974243,25.485092285849504,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,22.010416666666664,77.98958333333333
8,0.0,0.0,0.0,100.0,0.735705554485321,0.38254719972610474,0.28489696979522705,40.562581255170784,1.1935107707977295,0.7610903978347778,1.2650365829467773,25.091596737974236,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,22.033854166666668,77.96614583333333
9,0.0,0.0,0.0,100.0,0.7321925759315491,0.3813816010951996,0.28515908122062683,40.40183832194202,1.1636916399002075,0.7563102841377258,1.2766940593719482,24.617016262078717,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,22.098958333333332,77.90104166666667
10,0.0,0.0,0.0,100.0,0.7400862574577332,0.38449519872665405,0.2847362458705902,40.588860042482885,1.2195152044296265,0.7810624837875366,1.3227729797363281,25.89686098654709,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,22.067708333333332,77.93229166666666
11,0.0,0.0,0.0,100.0,0.7312576770782471,0.3809843957424164,0.2837282121181488,40.82233741753063,1.2383984327316284,0.8083728551864624,1.3471543788909912,23.609802073515553,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,22.104166666666668,77.89583333333333
12,0.0,0.0,0.0,100.0,0.7363188862800598,0.3809741735458374,0.2809109091758728,41.652394732179765,1.3055042028427124,0.8469565510749817,1.3707979917526245,23.291797082619738,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,22.048177083333336,77.95182291666667
13,0.0,0.0,0.0,100.0,0.7285059690475464,0.37640467286109924,0.28847113251686096,40.07994826876727,1.3135721683502197,0.8429104089736938,1.334778070449829,22.485450590794194,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,22.149739583333332,77.85026041666666
14,0.0,0.0,0.0,100.0,0.7344907522201538,0.37672290205955505,0.28623026609420776,40.26655658430147,1.3687080144882202,0.880041241645813,1.4019346237182617,21.87297281358731,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,22.079427083333332,77.92057291666666
15,0.0,0.0,0.0,100.0,0.7238243222236633,0.3687473237514496,0.285619854927063,40.90211359074271,1.3554844856262207,0.8673808574676514,1.3769060373306274,23.373479749675287,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,22.0546875,77.9453125
16,0.0,0.0,0.0,100.0,0.7234432697296143,0.3687008321285248,0.2841607332229614,41.26059322033898,1.3992750644683838,0.9035089015960693,1.4409756660461426,21.6454802259887,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,22.125,77.875
17,0.0,0.0,0.0,100.0,0.7375668883323669,0.37752217054367065,0.2843179702758789,41.906548631060566,1.4054961204528809,0.9046278595924377,1.4283326864242554,21.275722577241016,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,22.209635416666668,77.79036458333334
18,0.0,0.0,0.0,100.0,0.735374927520752,0.3793349862098694,0.28319284319877625,41.27274875915859,1.3511757850646973,0.86773681640625,1.3724033832550049,22.1756086031671,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,22.036458333333332,77.96354166666667
19,0.0,0.0,0.0,100.0,0.7257646322250366,0.3716381788253784,0.27806660532951355,42.773851590106005,1.3668147325515747,0.8819358944892883,1.4098764657974243,20.005889281507656,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,22.109375,77.890625
